[[0.8071876168251038], [0.8145834803581238], [0.8197396993637085], [0.8854568600654602], [0.842625617980957]]
[[0.7992922067642212], [0.8584333658218384], [0.7519741654396057], [0.7981081604957581], [0.8092544674873352]]
[[0.8068270683288574], [0.8725982904434204], [0.8199133276939392], [0.8866369724273682], [0.8261967897415161]]
[[0.8585935831069946], [0.8041409850120544], [0.8200594782829285], [0.8319708704948425], [0.7952213287353516]]
[[0.9011374115943909], [0.805884599685669], [0.9144657850265503], [0.8350536227226257], [0.763221800327301]]
[[0.7810559272766113], [0.7655521631240845], [0.777198314666748], [0.8793774247169495], [0.805324912071228]]
[[0.8632349967956543], [0.8319149017333984], [0.8696626424789429], [0.7986348271369934], [0.8167517781257629]]
[[0.8386384844779968], [0.8273929357528687], [0.8409209251403809], [0.7298057675361633], [0.8510066866874695]]
[[0.837975025177002], [0.7898784279823303], [0.7898885011672974], [0.8712273240089417], [0.798948347568512]]
[[0.8843566179275513], [0.8592075109481812], [0.8075897693634033], [0.8548814654350281], [0.8092683553695679]]
[[0.8795143961906433], [0.85134357213974], [0.7086926102638245], [0.7984206676483154], [0.8154632449150085]]
[[0.8173026442527771], [0.8714548349380493], [0.8142300844192505], [0.8507277369499207], [0.7927761673927307]]
[[0.8184635043144226], [0.8373335003852844], [0.8351677656173706], [0.8964526653289795], [0.7871198058128357]]
[[0.8491419553756714], [0.7984841465950012], [0.7919392585754395], [0.8075687289237976], [0.8030443787574768]]
[[0.7686215043067932], [0.8347072005271912], [0.8046467304229736], [0.8024377226829529], [0.8591359257698059]]
[[0.853492796421051], [0.7981909513473511], [0.8221582174301147], [0.8107808232307434], [0.7931691408157349]]
[[0.8633190393447876], [0.8477999567985535], [0.8491211533546448], [0.868887722492218], [0.8686612248420715]]
[[0.9166388511657715], [0.8992641568183899], [0.8178786039352417], [0.9366253018379211], [0.9280007481575012]]
[[0.8005669116973877], [0.8312250971794128], [0.7898885011672974], [0.8685826063156128], [0.7976742386817932]]
[[0.8541441559791565], [0.8018364906311035], [0.8153460621833801], [0.7826212644577026], [0.7848277688026428]]
[[0.794781506061554], [0.8308684229850769], [0.7822103500366211], [0.8821237087249756], [0.8340433835983276]]
[[0.8217530846595764], [0.7951644062995911], [0.7871973514556885], [0.8867753744125366], [0.8345121145248413]]
[[0.810602605342865], [0.8591725826263428], [0.8660499453544617], [0.9124704003334045], [0.820423424243927]]
[[0.836876392364502], [0.7959652543067932], [0.810006320476532], [0.8771120309829712], [0.8345121145248413]]
[[0.8550972938537598], [0.9028448462486267], [0.9304386377334595], [0.9366253018379211], [0.8689932227134705]]
[[0.8685144782066345], [0.8713065981864929], [0.8347682952880859], [0.8508904576301575], [0.8118516802787781]]
[[0.7994644045829773], [0.812390923500061], [0.9016108512878418], [0.8378224968910217], [0.8263699412345886]]
[[0.8661719560623169], [0.895856499671936], [0.9037603735923767], [0.8469275832176208], [0.8561893105506897]]
[[0.9105400443077087], [0.7872127294540405], [0.799828827381134], [0.8250788450241089], [0.8453386425971985]]
[[0.822080671787262], [0.7500931620597839], [0.8230019807815552], [0.8362441062927246], [0.8414479494094849]]
[[0.8437268137931824], [0.8096305727958679], [0.8800100088119507], [0.8285835385322571], [0.7937612533569336]]
[[0.817855179309845], [0.842770516872406], [0.8853045701980591], [0.8201740980148315], [0.8101065158843994]]
[[0.8795143961906433], [0.8523650765419006], [0.7121231555938721], [0.802350640296936], [0.8154632449150085]]
[[0.8704631328582764], [0.8476549983024597], [0.7976335287094116], [0.8039973378181458], [0.7916356325149536]]
[[0.8392122983932495], [0.8521087765693665], [0.7708957195281982], [0.8275826573371887], [0.7833783626556396]]
[[0.8495392799377441], [0.8049839735031128], [0.7909315824508667], [0.8164446353912354], [0.7744362950325012]]
[[0.7758831977844238], [0.80362468957901], [0.8263828158378601], [0.7995700836181641], [0.8235266208648682]]
[[0.8169835805892944], [0.8608477711677551], [0.8323659896850586], [0.8577139973640442], [0.8533982634544373]]
[[0.8935922384262085], [0.8416380286216736], [0.7923959493637085], [0.7667888402938843], [0.7942704558372498]]
[[0.8477786779403687], [0.8121094107627869], [0.886610746383667], [0.7627325654029846], [0.8702805638313293]]
[[0.8056872487068176], [0.8116337060928345], [0.8217450380325317], [0.8022197484970093], [0.8118773698806763]]
[[0.8479149341583252], [0.7829099297523499], [0.7502663135528564], [0.8186073899269104], [0.8647531270980835]]
[[0.7964858412742615], [0.7936906814575195], [0.8015118837356567], [0.8501787185668945], [0.7969970107078552]]
